,imageURL,movieId,title,type,typeId,imdbRank,cast,releaseYear,duration,genres,cast1,cast2
14,"{'height': 1600, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDJiZjdmOGMtZGU3NC00YWNjLWE4NzEtYjliOTlmNGI1ZGNjXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg', 'width': 1200}",tt0165807,Hanuman,feature,movie,196806.0,"Robert Cavanah, Tabu",1998.0,,"Adventure, Family, Romance",Robert Cavanah, Tabu
15,"{'height': 314, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BN2Y0YWQ0MzItZTIzNi00ODQ5LTgxMmItZjAwNTczMzViODdhXkEyXkFqcGdeQXVyNjQwMjk2MTc@._V1_.jpg', 'width': 229}",tt0287469,Hanuman Junction,feature,movie,139309.0,"Jagapathi Babu, Arjun Sarja",2001.0,,"Drama, Action, Comedy",Jagapathi Babu, Arjun Sarja
22,"{'height': 840, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzcxMjNkY2ItZGE0Ny00Zjg2LWIxOTktMzkyMzJmMTMzYzczXkEyXkFqcGdeQXVyNTkyNDg0NA@@._V1_.jpg', 'width': 933}",tt25971130,AMD Presents: Baahubali Director's Panel with S.S. Rajamouli,TV special,tvSpecial,2260598.0,"Pete Draper, Raja Koduri",2015.0,,,Pete Draper, Raja Koduri
26,"{'height': 2167, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYjE4OTAxNTgtNDIzNC00Nzk1LTgxYWMtYmUwMjJhYmM4YzQzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'width': 1500}",tt2630076,Super Nani,feature,movie,67200.0,"Rekha, Sharman Joshi",2014.0,,"Comedy, Drama, Family",Rekha, Sharman Joshi
28,"{'height': 3545, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTQ1OTg5NzE5N15BMl5BanBnXkFtZTcwNjg5MTYwOA@@._V1_.jpg', 'width': 2400}",tt2073039,Nani,short,short,301733.0,"Tsai Chin, Johnny Ortiz",2012.0,,"Short, Drama",Tsai Chin, Johnny Ortiz
30,"{'height': 1132, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYWI3NzlmM2EtOGNiMi00MTEzLWIyMDQtNmQyZDQxYmRjMDlkXkEyXkFqcGdeQXVyODg2MDM2ODk@._V1_.jpg', 'width': 800}",tt9657792,Kinou nani tabeta?,TV mini-series,tvMiniSeries,95375.0,"Meiko Kaji, Hidetoshi Nishijima",2019.0,,"Comedy, Drama, Family, Romance",Meiko Kaji, Hidetoshi Nishijima
35,"{'height': 844, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjZkNTdhOTMtYzg0Yy00YjA4LTljOTQtZWRkNTZkMTY3Y2Y3XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_.jpg', 'width': 562}",tt25433734,Hi Nanna,feature,movie,5965.0,"Nani, Mrunal Thakur",2023.0,,"Drama, Family, Romance",Nani, Mrunal Thakur
38,"{'height': 1800, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYmUyZGQ1YjUtZDRjMi00MWY5LWEyYzMtMzdjMDM4NDI2YjRiXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_.jpg', 'width': 1200}",tt7718110,Hightown,TV series,tvSeries,290.0,"Monica Raymund, Riley Voelkel",2020.0,2020-2024,"Crime, Drama, Mystery",Monica Raymund, Riley Voelkel
39,"{'height': 1000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMzk1NmE4NTQtZTNiYS00ODRhLWIyNzEtMzc4YTM0MDAxY2QwXkEyXkFqcGdeQXVyNjc4NTExMTk@._V1_.jpg', 'width': 680}",tt0123349,Hi-de-Hi!,TV series,tvSeries,16821.0,"Paul Shane, Ruth Madoc",1980.0,1980-1988,Comedy,Paul Shane, Ruth Madoc
41,"{'height': 1707, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjNkM2M1YTItYjUwZC00NmFiLWFiMzgtY2I1YWU4ZGQ0YmJjXkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_.jpg', 'width': 1214}",tt9665402,Sita,feature,movie,50505.0,"Sai Srinivas Bellamkonda, Kajal Aggarwal",2019.0,,"Action, Romance",Sai Srinivas Bellamkonda, Kajal Aggarwal
42,"{'height': 655, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzk2OGNmOTItYzlmZS00ODUyLTlmMTMtZTBiZWE2NjA3NGIzXkEyXkFqcGdeQXVyOTA1NTE5MTQ@._V1_.jpg', 'width': 1081}",tt11928034,Seetha,TV series,tvSeries,154408.0,"Swasika Vijay, Shanavas Shanu",2017.0,,"Drama, Romance",Swasika Vijay, Shanavas Shanu
43,"{'height': 1600, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOWI2MGViNzAtMDY3MS00ZDM0LTliMjItNDQxZGM2NzI1YmQzXkEyXkFqcGdeQXVyNDc2NzU1MTA@._V1_.jpg', 'width': 1200}",tt0248042,Gokulamlo Seetha,feature,movie,199179.0,"Pawan Kalyan, Raasi",1997.0,,"Drama, Romance",Pawan Kalyan, Raasi
46,"{'height': 2060, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYTJmMzI3OGQtZjMyYy00OTc2LWE3YjgtNTlmOThjOTA4MjA4XkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_.jpg', 'width': 1346}",tt0254764,Seetha Rama Kalyanam,feature,movie,245496.0,"Haranath, Gitanjali",1961.0,,"Drama, Musical",Haranath, Gitanjali
47,"{'height': 495, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzBiMWQ4NGItYTk5Yi00ZjQ1LTgxZDQtNTZkN2NkNTc1NTFlXkEyXkFqcGdeQXVyODk4ODEyMjk@._V1_.jpg', 'width': 330}",tt1666177,Seetha Kalyanam,feature,movie,324721.0,"Jayaram, Jyotika",2009.0,,Drama,Jayaram, Jyotika
48,"{'height': 960, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BN2RjZDJhYzUtOTQ5Yy00OWM3LWE5OTctM2Y0YWVmNzAzODllXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg', 'width': 638}",tt20850406,Sita Ramam,feature,movie,10474.0,"Dulquer Salmaan, Mrunal Thakur",2022.0,,"Action, Drama, Mystery, Romance",Dulquer Salmaan, Mrunal Thakur
52,"{'height': 1500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNjM4NzcwYzYtYzBlZS00YWI4LThlNzEtZjQ0MGM5YjVkMDVlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg', 'width': 1057}",tt1172203,Sita Sings the Blues,feature,movie,82081.0,"Annette Hanshaw, Aseem Chhabra",2008.0,,"Animation, Comedy, Fantasy, Musical, Romance",Annette Hanshaw, Aseem Chhabra
53,"{'height': 640, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZDY5MzVjYjYtZDAyMi00ZjI4LTk4MzgtYmRiYWEyZDEyMWUwXkEyXkFqcGdeQXVyNTM2MzU0MTQ@._V1_.jpg', 'width': 1360}",tt9342916,Sita on the Road,feature,movie,160437.0,"Kalpika Ganesh, Gayatri Gupta",2021.0,,Drama,Kalpika Ganesh, Gayatri Gupta
56,"{'height': 703, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BY2Q2YjNmMjctMTAxMS00MDk4LWFhY2QtYWU3MTA0Njc1YTg3XkEyXkFqcGdeQXVyODA2ODM3NDQ@._V1_.jpg', 'width': 472}",tt1230544,Konchem Ishtam Konchem Kashtam,feature,movie,102234.0,"Siddharth, Tamannaah Bhatia",2009.0,,Romance,Siddharth, Tamannaah Bhatia
58,"{'height': 1182, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTExMjczNDEtZDlkZi00NmM5LTk1Y2MtODUxMTdhMjExMmI2XkEyXkFqcGdeQXVyNjE3NTIwNDM@._V1_.jpg', 'width': 2048}",tt4624726,Konchem Ishtam Chaala Kashtam,short,short,589844.0,"Siddharth Chowdary Kilaru, Teja Kasarapu",2015.0,,"Short, Romance",Siddharth Chowdary Kilaru, Teja Kasarapu
59,"{'height': 500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDhjMjUxZWEtNzUzZS00NGU3LWI2MzUtNzUxNzVlYmYxOTZjXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_.jpg', 'width': 375}",tt0431865,Konchem Touchlo Vunte Cheputanu,feature,movie,810515.0,"Mohammad Ali, Krishna Bhagavan",2005.0,,Drama,Mohammad Ali, Krishna Bhagavan
60,,tt10270834,Konchem Touch Lo Unte Chepta Super Sunday,TV series,tvSeries,1535468.0,Pradeep Machiraju,2016.0,,Comedy,Pradeep Machiraju,
61,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNjU5MGU5ZjQtMzkzZS00YjliLTg0MWUtNmQ4NmM3OGNmZmM4XkEyXkFqcGdeQXVyMTQ4NTgxNzYx._V1_.jpg', 'width': 3000}",tt26008656,Konchem Clarity Konchem Reality,podcastSeries,podcastSeries,2693067.0,,2020.0,,Talk-Show,,
62,"{'height': 911, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzU1YzkzYzQtYTdkMS00ZWM1LThjOWQtMjg1NGIwM2I0MDc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTkzMzMyNDA@._V1_.jpg', 'width': 644}",tt4964310,Bet on Revenge,feature,movie,16729.0,"Ervin Nagy, Andrea Petrik",2017.0,,"Adventure, Drama, History, Romance",Ervin Nagy, Andrea Petrik
63,"{'height': 567, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjEyNDEwOTU0NV5BMl5BanBnXkFtZTYwNjk0NTk5._V1_.jpg', 'width': 388}",tt0318034,Russian Ark,feature,movie,14054.0,"Sergey Dreyden, Mariya Kuznetsova",2002.0,,"Drama, Fantasy, History, Mystery",Sergey Dreyden, Mariya Kuznetsova
64,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_.jpg', 'width': 1382}",tt1250777,Kick-Ass,feature,movie,2192.0,"Aaron Taylor-Johnson, Nicolas Cage",2010.0,,"Action, Comedy, Crime",Aaron Taylor-Johnson, Nicolas Cage
65,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTQ4OTQxNzc0N15BMl5BanBnXkFtZTcwOTQxOTU5OQ@@._V1_.jpg', 'width': 1410}",tt1650554,Kick-Ass 2,feature,movie,4003.0,"Aaron Taylor-Johnson, Chloë Grace Moretz",2013.0,,"Action, Comedy, Crime, Thriller",Aaron Taylor-Johnson, Chloë Grace Moretz
67,"{'height': 750, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BODk5NGUzYzEtYTcxMi00Y2UzLTlkNjYtYTk5NTc5ZmM5ZjZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMzM3NDI@._V1_.jpg', 'width': 500}",tt2071494,Kick the Cock,short,short,20637.0,"Tinto Brass, Angelita Franco",2008.0,,"Short, Comedy",Tinto Brass, Angelita Franco
68,"{'height': 2000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTUyMTg0MTA1OF5BMl5BanBnXkFtZTgwMDg2MjMwMjE@._V1_.jpg', 'width': 1385}",tt2372222,Kick,feature,movie,43312.0,"Salman Khan, Jacqueline Fernandez",2014.0,,"Action, Comedy, Crime, Thriller",Salman Khan, Jacqueline Fernandez
69,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMWZkMDdmNDYtZDY3ZC00NDA3LWEwZTMtNGEyMjJmMjNjOGM0XkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_.jpg', 'width': 2000}",tt0299943,Gotta Kick It Up!,TV movie,tvMovie,10601.0,"Camille Guaty, America Ferrera",2002.0,,"Comedy, Drama, Family",Camille Guaty, America Ferrera
70,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNGQwOTgyMjItNjBiMy00MTU0LThmOTQtN2RhODZjYmFmOGJlXkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_.jpg', 'width': 2000}",tt1600757,Kick Buttowski: Suburban Daredevil,TV series,tvSeries,20096.0,"Charlie Schlatter, Danny Cooksey",2010.0,2010-2012,"Animation, Action, Adventure, Comedy, Family",Charlie Schlatter, Danny Cooksey
71,"{'height': 12000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZDYxMTBjZmEtMmFmYy00OWI5LTlhNTUtY2ZjN2E3Mjg4ZjJmXkEyXkFqcGdeQXVyNTA1MTM5OTQ@._V1_.jpg', 'width': 8100}",tt24166504,Kick Me,feature,movie,36904.0,"Santiago Vasquez, Ramone Armstrong",2023.0,,"Action, Comedy, Horror",Santiago Vasquez, Ramone Armstrong
74,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg', 'width': 2000}",tt0903747,Breaking Bad,TV series,tvSeries,55.0,"Bryan Cranston, Aaron Paul",2008.0,2008-2013,"Crime, Drama, Thriller",Bryan Cranston, Aaron Paul
75,"{'height': 2500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYzFmODBhMjQtNjE0ZC00ZjczLTg5ZjktNTZhYzA0YmVkNzZjXkEyXkFqcGdeQXVyMTYwMjkzMjkx._V1_.jpg', 'width': 2000}",tt28288786,Premalu,feature,movie,2562.0,"Naslen, Mamitha Baiju",2024.0,,"Comedy, Romance",Naslen, Mamitha Baiju
76,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzFiMjgyZGEtMGNmNi00MGVlLTkxYjYtNjEyZDQ1NTE5NDQ3XkEyXkFqcGdeQXVyMTU1MjQxOTM5._V1_.jpg', 'width': 2000}",tt0248547,Tholi Prema,feature,movie,49463.0,"Pawan Kalyan, Kirti Reddy",1998.0,,"Drama, Romance",Pawan Kalyan, Kirti Reddy
78,"{'height': 519, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZDE2ZTFkNGMtZGI5Yi00OTY2LTk1ZDAtNGMyZWUzYjM1Nzc5XkEyXkFqcGdeQXVyNDk4OTE4MDE@._V1_.jpg', 'width': 450}",tt1846700,Prema Kavali,feature,movie,85013.0,"Aadi, Isha Chawla",2011.0,,Romance,Aadi, Isha Chawla
79,"{'height': 821, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzA2OGE5YjQtYTM3YS00NGVhLTg1ZGEtZjg2N2Q1MDQ4YWZkXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_.jpg', 'width': 546}",tt26914670,Ondu Sarala Prema Kathe,feature,movie,38777.0,"Aruna Balraj, Sadhu Kokila",2024.0,,"Drama, Romance",Aruna Balraj, Sadhu Kokila
80,"{'height': 906, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BN2NkZjdiOWQtOGI1ZC00ZDg3LWExMDQtZTM1YTQyYzU5OWFjXkEyXkFqcGdeQXVyMTIzNTE5MDkz._V1_.jpg', 'width': 718}",tt12872494,Iyi Günde Kötü Günde,TV series,tvSeries,44804.0,"Elçin Sangu, Ozan Dolunay",2020.0,2020-2020,"Comedy, Romance",Elçin Sangu, Ozan Dolunay
81,"{'height': 900, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjExYWY3YTUtZjA0Ni00MDU4LWJjOWItZDc0NjM3ZTdlNWI3XkEyXkFqcGdeQXVyODA2ODM3NDQ@._V1_.jpg', 'width': 634}",tt2846134,Gunde Jaari Gallanthayyinde,feature,movie,95438.0,"Nithiin, Nithya Menen",2013.0,,"Comedy, Drama, Romance",Nithiin, Nithya Menen
82,"{'height': 885, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNjRhNjVlYTgtODZiOS00OTVhLWE4ZTItZjc3MTFiYWY1YjI5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg', 'width': 580}",tt0048960,Around the World in 80 Days,feature,movie,1302.0,"David Niven, Cantinflas",1956.0,,"Adventure, Comedy, Family, Romance",David Niven, Cantinflas
83,"{'height': 960, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMDRjM2RmZDItZDEyNy00NmVhLWE5MWUtNjMxY2FiMzliZjkxXkEyXkFqcGdeQXVyNjc1NTEyNzk@._V1_.jpg', 'width': 675}",tt1606231,Gunde Jhallumandi,feature,movie,487575.0,"Uday Kiran, Aditi Sharma",2008.0,,Romance,Uday Kiran, Aditi Sharma
85,"{'height': 591, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjE4NTA1NzExN15BMl5BanBnXkFtZTYwNjc3MjM3._V1_.jpg', 'width': 400}",tt0251127,How to Lose a Guy in 10 Days,feature,movie,2061.0,"Kate Hudson, Matthew McConaughey",2003.0,,"Comedy, Romance",Kate Hudson, Matthew McConaughey
86,"{'height': 2906, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOGI2ODRiYzctMzA4YS00ZThhLWI5NzYtZDRhOGQyNDQyYmE3XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_.jpg', 'width': 1971}",tt0327437,Around the World in 80 Days,feature,movie,7296.0,"Jackie Chan, Steve Coogan",2004.0,,"Action, Adventure, Comedy, Family, Western",Jackie Chan, Steve Coogan
87,"{'height': 1920, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZjkxZjJiMDQtOWQ0OS00NjIxLTk4N2QtMjc0MDgzMzVjNGMxXkEyXkFqcGdeQXVyMzQ4OTY2ODg@._V1_.jpg', 'width': 1280}",tt31121129,Gunde Svan - skidåkaren,TV mini-series,tvMiniSeries,809582.0,"Gunde Svan, Marie Svan",2024.0,2024-2024,Documentary,Gunde Svan, Marie Svan
88,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYzgwNTI2YjAtMDM5Zi00MTAzLThkMmUtNTEyYWY1ODA2ZDdjXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_.jpg', 'width': 2000}",tt2640044,Masters of the Air,TV mini-series,tvMiniSeries,17.0,"Callum Turner, Anthony Boyle",2024.0,2024-2024,"Action, Drama, Thriller, War",Callum Turner, Anthony Boyle
89,"{'height': 847, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZDhjYmUzZGEtOWIyYi00ZDgzLWEwNmQtZGI4MjdhMDg1YTQ4XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_.jpg', 'width': 676}",tt29613587,Mast Mein Rehne Ka,feature,movie,16661.0,"Jackie Shroff, Neena Gupta",2023.0,,Drama,Jackie Shroff, Neena Gupta
90,"{'height': 1500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BODIyZDFmZDMtNTljMC00NWM3LWFkYTAtMWM0MGUyMDQzYTRkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'width': 1128}",tt0214931,Mast,feature,movie,115751.0,"Aftab Shivdasani, Urmila Matondkar",1999.0,,"Comedy, Musical, Romance",Aftab Shivdasani, Urmila Matondkar
91,"{'height': 1500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZGRjM2IyM2EtZDAxYi00NTdjLTliMGYtMmRhZGUyNjRjNWYwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'width': 999}",tt0311113,Master and Commander: The Far Side of the World,feature,movie,2034.0,"Russell Crowe, Paul Bettany",2003.0,,"Action, Adventure, Drama, War",Russell Crowe, Paul Bettany
92,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTgzNjkzNjMxOF5BMl5BanBnXkFtZTgwMTcyMTg2OTE@._V1_.jpg', 'width': 1506}",tt2137109,Masters of Sex,TV series,tvSeries,2825.0,"Michael Sheen, Lizzy Caplan",2013.0,2013-2016,"Drama, Romance",Michael Sheen, Lizzy Caplan
94,"{'height': 1778, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzQ1YmY1YTItNzg1MC00NDBkLThjZmItYzhkMjdkNjZjMjdmXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg', 'width': 1200}",tt15342244,Master Gardener,feature,movie,3695.0,"Joel Edgerton, Sigourney Weaver",2022.0,,"Drama, Mystery, Thriller",Joel Edgerton, Sigourney Weaver
95,"{'height': 1432, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYzRlMzQzNDEtYTg5My00NTFjLWFiYzYtMjJkMzUyYzJjMzgyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', 'width': 926}",tt0093507,Masters of the Universe,feature,movie,3985.0,"Dolph Lundgren, Frank Langella",1987.0,,"Action, Adventure, Fantasy, Sci-Fi",Dolph Lundgren, Frank Langella
97,"{'height': 2500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_.jpg', 'width': 1688}",tt4154664,Captain Marvel,feature,movie,1987.0,"Brie Larson, Samuel L. Jackson",2019.0,,"Action, Adventure, Sci-Fi",Brie Larson, Samuel L. Jackson
98,"{'height': 755, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZmQ3OTZkNDUtNTU0Mi00ZjE4LTgyNTUtY2E4NWRmNDUxMzkyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg', 'width': 510}",tt10857164,Ms. Marvel,TV mini-series,tvMiniSeries,3668.0,"Iman Vellani, Matt Lintz",2022.0,2022-2022,"Action, Adventure, Comedy, Crime, Drama, Family, Fantasy, Mystery, Sci-Fi",Iman Vellani, Matt Lintz
101,"{'height': 2500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BM2U2YWU5NWMtOGI2Ni00MGMwLWFkNjItMjgyZWMxNjllNTMzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg', 'width': 1688}",tt10676048,The Marvels,feature,movie,316.0,"Brie Larson, Teyonah Parris",2023.0,,"Action, Adventure, Fantasy",Brie Larson, Teyonah Parris
102,"{'height': 566, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNWMyNWYyMmYtZjNiZi00MzFmLTg2MjYtYWEzZWY1MzBhY2I2XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg', 'width': 382}",tt14094206,Marvel Studios: Assembled,TV series,tvSeries,25725.0,"Kevin Feige, Stephen Broussard",2021.0,,Documentary,Kevin Feige, Stephen Broussard
