,Unnamed: 0,Title,Star_1,Star_2,Star_3,Star_4,Genre_1,Genre_2,Genre_3,Release Year,IMDb Rating,Director_Name,Runtime,imageURL,combined_features
12,23,Seetha Rama Kalyanam,Haranath, Gitanjali, N.T. Rama Rao, Taraka Rama Rao Nandamuri,Drama, Musical,unknown,1961,7.8,Taraka Rama Rao Nandamuri,180,https://m.media-amazon.com/images/M/MV5BYTJmMzI3OGQtZjMyYy00OTc2LWE3YjgtNTlmOThjOTA4MjA4XkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_.jpg,Haranath  Gitanjali  N.T. Rama Rao  Taraka Rama Rao Nandamuri Taraka Rama Rao Nandamuri
13,25,Sita Ramam,Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth,Romance, War,unknown,2022,1,Hanu Raghavapudi,90,https://m.media-amazon.com/images/M/MV5BN2RjZDJhYzUtOTQ5Yy00OWM3LWE5OTctM2Y0YWVmNzAzODllXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg,Dulquer Salmaan  Mrunal Thakur  Rashmika Mandanna  Sumanth Hanu Raghavapudi
14,26,Sita Sings the Blues,Reena Shah, Debargo Sanyal, Annette Hanshaw, Aseem Chhabra,Animation, Drama, Music,2008,7,Nina Paley,82,https://m.media-amazon.com/images/M/MV5BNjM4NzcwYzYtYzBlZS00YWI4LThlNzEtZjQ0MGM5YjVkMDVlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,Reena Shah  Debargo Sanyal  Annette Hanshaw  Aseem Chhabra Nina Paley
15,33,Kincsem,Nagy Ervin, Petrik Andrea, Tibor Gáspár, József Gyabronka,Drama, Adventure, Romance,2017,7.3,Gábor Herendi,121,https://m.media-amazon.com/images/M/MV5BYzA4MzA1ZTgtOGFkOS00OThiLTgwOTktODFkMmM5Y2JkYjY3XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_.jpg,Nagy Ervin  Petrik Andrea  Tibor Gáspár  József Gyabronka Gábor Herendi
16,34,Russian Ark,Sergei Dreiden, Mariya Kuznetsova, Leonid Mozgovoy, Mikhail Piotrovsky,Drama, Fantasy, History,2002,7.35,Marina Koreneva,99,https://m.media-amazon.com/images/M/MV5BMjEyNDEwOTU0NV5BMl5BanBnXkFtZTYwNjk0NTk5._V1_.jpg,Sergei Dreiden  Mariya Kuznetsova  Leonid Mozgovoy  Mikhail Piotrovsky Marina Koreneva
17,35,Kick-Ass,Aaron Taylor-Johnson, Chloë Grace Moretz, Nicolas Cage, Christopher Mintz-Plasse,Action, Crime, Superhero,2010,7.1,Matthew Vaughn,117,https://m.media-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_.jpg,Aaron Taylor-Johnson  Chloë Grace Moretz  Nicolas Cage  Christopher Mintz-Plasse Matthew Vaughn
18,36,Kick-Ass 2,Aaron Taylor-Johnson, Chloë Grace Moretz, Christopher Mintz-Plasse, Jim Carrey,Action, Adventure, Crime,2013,6.4,Jeff Wadlow,103,https://m.media-amazon.com/images/M/MV5BMTQ4OTQxNzc0N15BMl5BanBnXkFtZTcwOTQxOTU5OQ@@._V1_.jpg,Aaron Taylor-Johnson  Chloë Grace Moretz  Christopher Mintz-Plasse  Jim Carrey Jeff Wadlow
19,38,Kick,Salman Khan, Jacqueline Fernandez, Randeep Hooda, Nawazuddin Siddiqui,Action, Comedy, Thriller,2014,5.9,Sajid Nadiadwala,146,https://m.media-amazon.com/images/M/MV5BMTUyMTg0MTA1OF5BMl5BanBnXkFtZTgwMDg2MjMwMjE@._V1_.jpg,Salman Khan  Jacqueline Fernandez  Randeep Hooda  Nawazuddin Siddiqui Sajid Nadiadwala
20,39,Gotta Kick It Up!,Camille Guaty, America Ferrera, Jhoanna Flores, Suilma Rodriguez,TV Movie, Comedy, Drama,2002,6.5,Ramón Menéndez,85,https://m.media-amazon.com/images/M/MV5BMWZkMDdmNDYtZDY3ZC00NDA3LWEwZTMtNGEyMjJmMjNjOGM0XkEyXkFqcGdeQXVyMTIwMjY0NjQz._V1_.jpg,Camille Guaty  America Ferrera  Jhoanna Flores  Suilma Rodriguez Ramón Menéndez
21,41,Kick Me,Santiago Vasquez, Ramone Armstrong, Matthew Stathas, Eric Logan,Action, Comedy, Horror,2023,6,Gary Huggins,84,https://m.media-amazon.com/images/M/MV5BZDYxMTBjZmEtMmFmYy00OWI5LTlhNTUtY2ZjN2E3Mjg4ZjJmXkEyXkFqcGdeQXVyNTA1MTM5OTQ@._V1_.jpg,Santiago Vasquez  Ramone Armstrong  Matthew Stathas  Eric Logan Gary Huggins
22,42,Breaking Bad,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,unknown,unknown,https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,unknown unknown unknown unknown unknown
23,43,Premalu,Naslen, Mamitha Baiju, Akhila Bhargavan, Sangeeth Prathap,Romance, Comedy,unknown,2024,7.75,Girish A D,154,https://m.media-amazon.com/images/M/MV5BYzFmODBhMjQtNjE0ZC00ZjczLTg5ZjktNTZhYzA0YmVkNzZjXkEyXkFqcGdeQXVyMTYwMjkzMjkx._V1_.jpg,Naslen  Mamitha Baiju  Akhila Bhargavan  Sangeeth Prathap Girish A D
24,44,Tholi Prema,Pawan Kalyan, Keerthi Reddy, Ali Basha, Ravi Babu,Romance, Drama, Comedy,1998,5.4,A. Karunakaran,136,https://m.media-amazon.com/images/M/MV5BNzFiMjgyZGEtMGNmNi00MGVlLTkxYjYtNjEyZDQ1NTE5NDQ3XkEyXkFqcGdeQXVyMTU1MjQxOTM5._V1_.jpg,Pawan Kalyan  Keerthi Reddy  Ali Basha  Ravi Babu A. Karunakaran
25,45,Prema Kavali,Aadi Saikumar, Isha Chawla, Dev Gill, Nassar,Romance, Comedy,unknown,2011,3.3,K. Vijaya Bhaskar,166,https://m.media-amazon.com/images/M/MV5BZDE2ZTFkNGMtZGI5Yi00OTY2LTk1ZDAtNGMyZWUzYjM1Nzc5XkEyXkFqcGdeQXVyNDk4OTE4MDE@._V1_.jpg,Aadi Saikumar  Isha Chawla  Dev Gill  Nassar K. Vijaya Bhaskar
26,46,Ondu Sarala Prema Kathe,Vinay Rajkumar, Swathishta Krishnan, Mallika Singh, Karthik Mahesh,Drama, Romance,unknown,2024,0,Suni,90,https://m.media-amazon.com/images/M/MV5BNzA2OGE5YjQtYTM3YS00NGVhLTg1ZGEtZjg2N2Q1MDQ4YWZkXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_.jpg,Vinay Rajkumar  Swathishta Krishnan  Mallika Singh  Karthik Mahesh Suni
27,48,Gunde Jaari Gallanthayyinde,Nithiin, Isha Talwar, Nithya Menen, Ali Basha,Romance, Comedy, Drama,2013,6.5,Vijay Kumar Konda,150,https://m.media-amazon.com/images/M/MV5BMjExYWY3YTUtZjA0Ni00MDU4LWJjOWItZDc0NjM3ZTdlNWI3XkEyXkFqcGdeQXVyODA2ODM3NDQ@._V1_.jpg,Nithiin  Isha Talwar  Nithya Menen  Ali Basha Vijay Kumar Konda
28,49,Around the World in Eighty Days,David Niven, Cantinflas, Finlay Currie, Robert Morley,Adventure, Comedy, Family,1956,6.659,Michael Anderson,182,"https://m.media-amazon.com/images/I/7138vUm-VkL._AC_UF1000,1000_QL80_.jpg",David Niven  Cantinflas  Finlay Currie  Robert Morley Michael Anderson
29,51,How to Lose a Guy in 10 Days,Kate Hudson, Matthew McConaughey, Kathryn Hahn, Annie Parisse,Comedy, Romance, Action,2003,6.765,Donald Petrie,116,https://m.media-amazon.com/images/M/MV5BMjE4NTA1NzExN15BMl5BanBnXkFtZTYwNjc3MjM3._V1_.jpg,Kate Hudson  Matthew McConaughey  Kathryn Hahn  Annie Parisse Donald Petrie
30,52,Around the World in 80 Days,Jackie Chan, Steve Coogan, Cécile de France, Jim Broadbent,Action, Adventure, Comedy,2004,5.925,Harvey Harrison,120,https://m.media-amazon.com/images/M/MV5BNjRhNjVlYTgtODZiOS00OTVhLWE4ZTItZjc3MTFiYWY1YjI5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,Jackie Chan  Steve Coogan  Cécile de France  Jim Broadbent Harvey Harrison
32,55,Mast Mein Rehne Ka,Jackie Shroff, Neena Gupta, Abhishek Chauhan, Monika Panwar,Comedy, Drama, Action,2023,7.563,Divyangini Sharma,127,https://m.media-amazon.com/images/M/MV5BZDhjYmUzZGEtOWIyYi00ZDgzLWEwNmQtZGI4MjdhMDg1YTQ4XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_.jpg,Jackie Shroff  Neena Gupta  Abhishek Chauhan  Monika Panwar Divyangini Sharma
33,57,Master and Commander: The Far Side of the World,Russell Crowe, Paul Bettany, James D'Arcy, Robert Pugh,Adventure, Drama, War,2003,7.138,Alan B. Curtiss,138,https://m.media-amazon.com/images/M/MV5BZGRjM2IyM2EtZDAxYi00NTdjLTliMGYtMmRhZGUyNjRjNWYwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Russell Crowe  Paul Bettany  James D'Arcy  Robert Pugh Alan B. Curtiss
34,58,Masters of Sex,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,unknown,unknown,https://m.media-amazon.com/images/M/MV5BMTgzNjkzNjMxOF5BMl5BanBnXkFtZTgwMTcyMTg2OTE@._V1_.jpg,unknown unknown unknown unknown unknown
35,59,Master Gardener,Joel Edgerton, Sigourney Weaver, Quintessa Swindell, Esai Morales,Drama, Romance, Thriller,2023,6.4,Fernando Malabet,111,https://m.media-amazon.com/images/M/MV5BNzQ1YmY1YTItNzg1MC00NDBkLThjZmItYzhkMjdkNjZjMjdmXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg,Joel Edgerton  Sigourney Weaver  Quintessa Swindell  Esai Morales Fernando Malabet
36,60,Masters of the Universe,Dolph Lundgren, Frank Langella, Meg Foster, Billy Barty,Action, Fantasy, Sci-Fi,1987,5.4,Gary Goddard,106,https://m.media-amazon.com/images/M/MV5BYzRlMzQzNDEtYTg5My00NTFjLWFiYzYtMjJkMzUyYzJjMzgyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Dolph Lundgren  Frank Langella  Meg Foster  Billy Barty Gary Goddard
37,61,Captain Marvel,Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law,Action, Adventure, Sci-Fi,2019,6.829,Jeff Habberstad,124,https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_.jpg,Brie Larson  Samuel L. Jackson  Ben Mendelsohn  Jude Law Jeff Habberstad
39,63,The Marvels,Brie Larson, Teyonah Parris, Iman Vellani, Zawe Ashton,Sci-Fi, Adventure, Action,2023,6.213,Joe Barlow,105,https://m.media-amazon.com/images/M/MV5BM2U2YWU5NWMtOGI2Ni00MGMwLWFkNjItMjgyZWMxNjllNTMzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,Brie Larson  Teyonah Parris  Iman Vellani  Zawe Ashton Joe Barlow
40,67,The Zone of Interest,Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte,History, Drama, War,2023,7.305,Jonathan Glazer,105,https://m.media-amazon.com/images/M/MV5BYzRmOGQwZjktYjM2Ni00M2NmLWFlZDYtZGFhM2RkM2VhZDI1XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_.jpg,Christian Friedel  Sandra Hüller  Johann Karthaus  Luis Noah Witte Jonathan Glazer
41,68,The Holdovers,Paul Giamatti, Dominic Sessa, Da'Vine Joy Randolph, Carrie Preston,Comedy, Drama, Holiday,2023,7.773,Alexander Payne,133,https://m.media-amazon.com/images/M/MV5BNDc2MzNkMjMtZDY5NC00NmQ0LWI1NjctZjRhNWIzZjc4MGRiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,Paul Giamatti  Dominic Sessa  Da'Vine Joy Randolph  Carrie Preston Alexander Payne
42,69,The Gentlemen,Matthew McConaughey, Charlie Hunnam, Henry Golding, Michelle Dockery,Action, Crime, Comedy,2020,7.68,Max Keene,113,https://m.media-amazon.com/images/M/MV5BOGJjODQxYWUtYjlkOC00NzJiLTgyZjUtY2Q3Y2FhZGVlODEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,Matthew McConaughey  Charlie Hunnam  Henry Golding  Michelle Dockery Max Keene
44,71,Monkey Man,Dev Patel, Sharlto Copley, Pitobash, Vipin Sharma,Action, Thriller, Drama,2024,0,Dev Patel,90,https://m.media-amazon.com/images/M/MV5BNzZlODVjMzgtZGM1Yi00MWMwLTkyYTQtMzJlZjQ4MDgwYzg4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,Dev Patel  Sharlto Copley  Pitobash  Vipin Sharma Dev Patel
45,72,Man of Steel,Henry Cavill, Amy Adams, Michael Shannon, Diane Lane,Action, Adventure, Sci-Fi,2013,6.621,Zack Snyder,143,https://m.media-amazon.com/images/M/MV5BMTk5ODk1NDkxMF5BMl5BanBnXkFtZTcwNTA5OTY0OQ@@._V1_.jpg,Henry Cavill  Amy Adams  Michael Shannon  Diane Lane Zack Snyder
46,73,Man on Fire,Denzel Washington, Dakota Fanning, Christopher Walken, Radha Mitchell,Action, Drama, Thriller,2004,7.46,Tony Scott,146,https://m.media-amazon.com/images/M/MV5BODFlMmEwMDgtYjhmZi00ZTE5LTk2NWQtMWE1Y2M0NjkzOGYxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,Denzel Washington  Dakota Fanning  Christopher Walken  Radha Mitchell Tony Scott
47,74,Spider-Man: Across the Spider-Verse,Shameik Moore, Hailee Steinfeld, Jason Schwartzman, Oscar Isaac,Animation, Action, Adventure,2023,8.379,Justin K. Thompson,140,https://m.media-amazon.com/images/M/MV5BMzI0NmVkMjEtYmY4MS00ZDMxLTlkZmEtMzU4MDQxYTMzMjU2XkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_.jpg,Shameik Moore  Hailee Steinfeld  Jason Schwartzman  Oscar Isaac Justin K. Thompson
48,75,Iron Man,Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow,Action, Sci-Fi, Adventure,2008,7.642,Jon Favreau,126,https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_.jpg,Robert Downey Jr.  Terrence Howard  Jeff Bridges  Gwyneth Paltrow Jon Favreau
49,76,The King's Man,Harris Dickinson, Ralph Fiennes, Aaron Taylor-Johnson, Gemma Arterton,Action, Adventure, Comedy,2021,7.46154,Matthew Vaughn,90,https://m.media-amazon.com/images/M/MV5BMDEzZDY2ZDktNTlmOS00NThjLThkNTEtMjE5MzI5NWEwZmRjXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,Harris Dickinson  Ralph Fiennes  Aaron Taylor-Johnson  Gemma Arterton Matthew Vaughn
50,77,The Gray Man,Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton,Action, Thriller, Adventure,2022,6.969,Anthony Russo,122,https://m.media-amazon.com/images/M/MV5BOWY4MmFiY2QtMzE1YS00NTg1LWIwOTQtYTI4ZGUzNWIxNTVmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,Ryan Gosling  Chris Evans  Ana de Armas  Billy Bob Thornton Anthony Russo
51,78,Kayoko's Diary,Masako Ikeda, Katsue Miwa, Masako Nozawa, Nozomu Sasaki,Animation, Drama, War,1991,6.9,Seiji Arihara,90,https://m.media-amazon.com/images/M/MV5BYjQzYjBhOTgtOTE2Yy00YTVlLWExMjAtNzk4MGYyODM4ZjhlXkEyXkFqcGdeQXVyMzA3NDI5NTQ@._V1_.jpg,Masako Ikeda  Katsue Miwa  Masako Nozawa  Nozomu Sasaki Seiji Arihara
52,79,Someone's Knocking at the Door,Noah Segan, Andrea Renda, Elina Madison, Ezra Buzzington,Horror, Comedy, Fantasy,2009,4.4,Chad Ferrin,80,https://m.media-amazon.com/images/M/MV5BMzQwNTA0OTcyOF5BMl5BanBnXkFtZTcwNjk3Njc1Mw@@._V1_.jpg,Noah Segan  Andrea Renda  Elina Madison  Ezra Buzzington Chad Ferrin
53,80,Truth or Dare,Lucy Hale, Violett Beane, Tyler Posey, Hayden Szeto,Thriller, Horror, Action,2018,5.969,Jeff Wadlow,101,https://m.media-amazon.com/images/M/MV5BOGU2YTZmMjYtZDUwYi00NTc1LTlkMjAtM2ViZDkzOTlhNGNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,Lucy Hale  Violett Beane  Tyler Posey  Hayden Szeto Jeff Wadlow
54,81,The Secret: Dare to Dream,Katie Holmes, Josh Lucas, Jerry O'Connell, Celia Weston,Drama, Romance, Action,2020,7.299,Andy Tennant,107,https://m.media-amazon.com/images/M/MV5BMzVhNWI5NzctNWU0MS00YzI4LThkY2QtMmE2NTVkYzI3YTI5XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_.jpg,Katie Holmes  Josh Lucas  Jerry O'Connell  Celia Weston Andy Tennant
55,82,Where Eagles Dare,Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark,Action, Adventure, War,1968,7.6,Brian G. Hutton,155,https://m.media-amazon.com/images/M/MV5BNGE3ZWZiNzktMDIyOC00ZmVhLThjZTktZjQ5NjI4NGVhMDBlXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_.jpg,Richard Burton  Clint Eastwood  Mary Ure  Patrick Wymark Brian G. Hutton
56,83,Like Stars on Earth,Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma,Drama, Family,unknown,2007,7.996,Amole Gupte,162,https://m.media-amazon.com/images/M/MV5BYjY0MGU3MmQtMGVhOS00M2IyLWI1MTktZGUxMzBjMTE5ZDA3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,Darsheel Safary  Aamir Khan  Tisca Chopra  Vipin Sharma Amole Gupte
57,84,The Dare,Richard Brake, Bart Edwards, Richard Short, Alexandra Evans,Horror, Mystery, Thriller,2019,5.2,Giles Alderson,97,https://m.media-amazon.com/images/M/MV5BNTQwYzk4ZjUtMmI0NC00MTA2LWE5NTItY2YyYjViMGY2MzVjXkEyXkFqcGdeQXVyMTcwMjE4MTQ@._V1_.jpg,Richard Brake  Bart Edwards  Richard Short  Alexandra Evans Giles Alderson
58,85,Magadheera,Ram Charan, Kajal Agarwal, Dev Gill, Srihari,Action, Drama, Fantasy,2009,6.8,S.S. Rajamouli,164,https://m.media-amazon.com/images/M/MV5BNDRkNmNiYTYtYjIxNi00MjQyLThlZWQtYmU0NDMxNDE0NWYzXkEyXkFqcGdeQXVyODMyODMxNDY@._V1_.jpg,Ram Charan  Kajal Agarwal  Dev Gill  Srihari S.S. Rajamouli
59,86,Yevadu,Ram Charan, Shruti Haasan, Amy Jackson, Jayasudha,Action, Thriller,unknown,2014,6,Vamsi Paidipally,166,https://m.media-amazon.com/images/M/MV5BY2ViNzVmOWEtMDg2Zi00NmE2LWE4YzAtZTNhZjBhMTFmNjIxXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg,Ram Charan  Shruti Haasan  Amy Jackson  Jayasudha Vamsi Paidipally
60,98,Corona Dhavan,Lukman Avaran, Sreenath Bhasi, Sarath Sabha, Johny Antony,Comedy,unknown,unknown,2023,6.5,Nithin C C Aloor,130,https://m.media-amazon.com/images/M/MV5BNTc5MTNmYzItZGIxZS00MDViLTljNWUtMmJkYzBhNGMwNmQwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg,Lukman Avaran  Sreenath Bhasi  Sarath Sabha  Johny Antony Nithin C C Aloor
61,99,Saindhav,Venkatesh, Nawazuddin Siddiqui, Baby Sara, Shraddha Srinath,Action, Crime,unknown,2024,6,Sailesh Kolanu,138,https://m.media-amazon.com/images/M/MV5BNzE3YjcyYzMtNTRkNi00ZGY0LThiNzItNzJmZmIwNTAyODA1XkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_.jpg,Venkatesh  Nawazuddin Siddiqui  Baby Sara  Shraddha Srinath Sailesh Kolanu
62,105,Atharintiki Daaredi,Pawan Kalyan, Samantha Ruth Prabhu, Pranitha Subhash, Boman Irani,Action, Comedy, Drama,2013,6.7,Trivikram Srinivas,169,https://m.media-amazon.com/images/M/MV5BZWQzNDdmN2UtZTc5ZC00M2EzLWE2ZTUtMjVhNzJmOGQ5YzkwXkEyXkFqcGdeQXVyMzA0NTI2OTM@._V1_.jpg,Pawan Kalyan  Samantha Ruth Prabhu  Pranitha Subhash  Boman Irani Trivikram Srinivas
63,109,Dookudu,Mahesh Babu, Samantha Akkineni, Sonu Sood, Kota Srinivasa Rao,Action, Drama, Comedy,2011,6.1,Saikishore,174,https://m.media-amazon.com/images/M/MV5BNzc2MDcyZjYtZTc1ZS00Mzg0LWEzMDAtZTIyMGNiY2M2ZjFhXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_.jpg,Mahesh Babu  Samantha Akkineni  Sonu Sood  Kota Srinivasa Rao Saikishore
64,115,Decapitation of an Evil Woman,Terumi Azuma, Yoshinobu Hirose, Yukiko Tachibana, Takuzō Kawatani,Action, Crime, Drama,1977,6,Yuji Makiguchi,62,,Terumi Azuma  Yoshinobu Hirose  Yukiko Tachibana  Takuzō Kawatani Yuji Makiguchi
65,117,Aarya,R. Madhavan, Bhavana, Prakash Raj, Vadivelu,Action, Drama, Romance,2007,6.2,Balasekaran,160,https://m.media-amazon.com/images/M/MV5BNzY1NDE2MWQtNzJlOC00MGZiLTkxN2YtMTQ5YWVkMTA2MGU5XkEyXkFqcGdeQXVyMTE0MDk1NjA1._V1_.jpg,R. Madhavan  Bhavana  Prakash Raj  Vadivelu Balasekaran
69,120,Aarya 2,Allu Arjun, Navdeep, Kajal Agarwal, Brahmanandam,Action, Comedy, Drama,2009,7,Sukumar,155,https://m.media-amazon.com/images/M/MV5BMmY4OTk1MTctYTM1My00Y2IyLWJlMmUtNzUyOThhYzM4YmNkXkEyXkFqcGdeQXVyNjA0MTQ0MjI@._V1_.jpg,Allu Arjun  Navdeep  Kajal Agarwal  Brahmanandam Sukumar
70,122,Mr. Robot,Christian Slater, Rami Malek, Carly Chaikin, Martin Wallström,Drama, Thriller,unknown,2015,9.75,Sam Esmail,49,https://m.media-amazon.com/images/M/MV5BM2QyNDIzOGMtNThhNS00NmUwLWI0ZjUtZjdkN2I1OTRjZWQ3XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_.jpg,Christian Slater  Rami Malek  Carly Chaikin  Martin Wallström Sam Esmail
